~id,~from,~to,~label,weight:Double
098d17af-849d-4b1a-bbf1-8047c9c67114--bb185279-1926-4b98-aad5-70ba51505f27,098d17af-849d-4b1a-bbf1-8047c9c67114,bb185279-1926-4b98-aad5-70ba51505f27,similarity,0.9962432098388672
098d17af-849d-4b1a-bbf1-8047c9c67114--66edbe8c-dce6-46f2-b516-8a43601a46ab,098d17af-849d-4b1a-bbf1-8047c9c67114,66edbe8c-dce6-46f2-b516-8a43601a46ab,similarity,0.9958265686035156
098d17af-849d-4b1a-bbf1-8047c9c67114--dfdc542a-2ac6-42ec-bc1e-aaef7d3eef69,098d17af-849d-4b1a-bbf1-8047c9c67114,dfdc542a-2ac6-42ec-bc1e-aaef7d3eef69,similarity,0.9955258941650391
098d17af-849d-4b1a-bbf1-8047c9c67114--ec126a75-0b3b-4ffc-8c61-dbbbc0a7193d,098d17af-849d-4b1a-bbf1-8047c9c67114,ec126a75-0b3b-4ffc-8c61-dbbbc0a7193d,similarity,0.9954326629638672
098d17af-849d-4b1a-bbf1-8047c9c67114--a67ebf56-782a-437c-868a-b76de9033540,098d17af-849d-4b1a-bbf1-8047c9c67114,a67ebf56-782a-437c-868a-b76de9033540,similarity,0.9948117065429688
098d17af-849d-4b1a-bbf1-8047c9c67114--1ed5053f-7f08-4fa8-b899-94fe186d1a22,098d17af-849d-4b1a-bbf1-8047c9c67114,1ed5053f-7f08-4fa8-b899-94fe186d1a22,similarity,0.9930584716796875
098d17af-849d-4b1a-bbf1-8047c9c67114--7d1380f3-135e-4051-aaaf-07e2376f44eb,098d17af-849d-4b1a-bbf1-8047c9c67114,7d1380f3-135e-4051-aaaf-07e2376f44eb,similarity,0.9847129821777344
098d17af-849d-4b1a-bbf1-8047c9c67114--828adffa-baba-423a-9a3e-896bc0c2f16f,098d17af-849d-4b1a-bbf1-8047c9c67114,828adffa-baba-423a-9a3e-896bc0c2f16f,similarity,0.9833101654052734
098d17af-849d-4b1a-bbf1-8047c9c67114--a4a19165-524a-4e7f-9414-96f1d5013b98,098d17af-849d-4b1a-bbf1-8047c9c67114,a4a19165-524a-4e7f-9414-96f1d5013b98,similarity,0.9613572692871094
098d17af-849d-4b1a-bbf1-8047c9c67114--16e5c998-bc02-4f38-84ee-3ab223f2cee5,098d17af-849d-4b1a-bbf1-8047c9c67114,16e5c998-bc02-4f38-84ee-3ab223f2cee5,similarity,0.950594711303711
